OBJECTID *,Shape *,Join_Count,TARGET_FID,F_id,access,amenity,covered,fee,parking,surface,wheelchair,F_timestamp,F_version,F_changeset,F_user,F_uid,OBJECTID_1,SPI_Type,County,Real_Property_Number,Real_Property_Name,Address,City,State,Zip_Code,Agency,Total_Fee_Acreage,Total_SF_of_Structures,Latitude,Longitude,Elevation,Shape_Length,Shape_Area
352,Polygon Z,1,75431,way/687657667,customers,parking,yes,no,surface,asphalt,no,2019-05-03T19:47:56Z,1,69858918,Nathan_Blais,9645884,1059,Real Property,MERCED,124,MERCED,1205 WEST 18TH STREET,MERCED,CA,95340,EMPLOYMENT DEVELOPMENT DEPARTMENT,1.86,14210,37.30704,-120.493543,167.5,282.619381,4711.743525
353,Polygon Z,1,75527,way/300548128,yes,parking,yes,no,surface,asphalt,yes,2020-01-09T20:45:22Z,2,79392306,vogelfreier,74746,902,Real Property,MADERA,10103,VALLEY STATE PRISON,21633 AVENUE 24,CHOWCHILLA,CA,93610,CDCR - VALLEY STATE PRISON,662.27,847523,37.101925,-120.15245,285.04,874.747735,36867.24254
354,Polygon Z,1,75546,way/61810215,yes,parking,yes,no,surface,asphalt,yes,2015-01-10T08:07:17Z,3,28035117,nmixter,55774,281,Real Property,FRESNO,117,FRESNO,2555 S. ELM AVENUE,FRESNO,CA,93706,EMPLOYMENT DEVELOPMENT DEPARTMENT,1.7,14272,36.708106,-119.790094,281.08,322.404573,5354.054007
355,Polygon Z,1,76022,way/96520756,fee,parking,yes,no,surface,asphalt,yes,2020-08-06T12:28:57Z,4,89038901,pravinyerapale,11475294,908,Real Property,MADERA,11290,ROLLING HILLS PARK AND RIDE - DECOMMISSIONED.,,MADERA,CA,0,"TRANSPORTATION, DEPT OF",0.61,0,36.896661,-119.793498,372.5,262.896066,3315.102793
356,Polygon Z,1,76084,way/61572984,permissive,parking,yes,no,surface,asphalt,yes,2022-02-19T09:19:52Z,8,117596104,Jorisbo,1983103,298,Real Property,FRESNO,11860,FOWLER AVENUE PARK AND RIDE, SW QUAD OF RTE 180,FRESNO,CA,93727,"TRANSPORTATION, DEPT OF",0.42,0,36.751791,-119.682305,335.94,187.896185,2288.789819
357,Polygon Z,1,76140,way/280435656,yes,parking,yes,no,surface,asphalt,yes,2020-08-09T05:17:24Z,4,89143936,PritamSarang,11460235,312,Real Property,FRESNO,11862,MCCALL AVENUE PARK AND RIDE, NE CNR ST RTE 180,SANGER,CA,93657,"TRANSPORTATION, DEPT OF",1.05,0,36.7365,-119.609246,353.68,209.259466,2266.532606
358,Polygon Z,1,76174,way/61810193,fee,parking,yes,no,surface,asphalt,yes,2020-08-08T15:13:05Z,7,89131256,PritamSarang,11460235,272,Real Property,FRESNO,11299,TEMPERANCE PARK AND RIDE,,CLOVIS,CA,93611,"TRANSPORTATION, DEPT OF",0.72,0,36.844044,-119.66554,388.77,332.574941,6887.865165
359,Polygon Z,1,76199,way/96520754,fee,parking,yes,no,surface,asphalt,yes,2022-02-19T09:19:26Z,5,117596092,Jorisbo,1983103,911,Real Property,MADERA,11861,MADERA PARK AND RIDE, SW CNR SR 145 INT,MADERA,CA,93626,"TRANSPORTATION, DEPT OF",3.53,0,37.010235,-119.794238,460.04,199.994654,2479.975731
360,Polygon Z,1,76273,way/96484531,fee,parking,yes,no,surface,dirt,yes,2020-08-06T12:28:57Z,5,89038901,pravinyerapale,11475294,270,Real Property,FRESNO,11293,AUBERRY ROAD PARK AND RIDE,,AUBERRY,CA,93602,"TRANSPORTATION, DEPT OF",1.02,0,37.043154,-119.49862,1685.67,171.076785,1374.160981
361,Polygon Z,1,76274,way/96484549,fee,parking,yes,no,surface,dirt,yes,2020-08-08T17:52:15Z,5,89134899,PritamSarang,11460235,308,Real Property,FRESNO,11291,LODGE ROAD PARK AND RIDE,,PRATHER,CA,93667,"TRANSPORTATION, DEPT OF",0.01,0,37.044364,-119.472874,1775.81,234.27661,3065.175026
362,Polygon Z,1,76451,way/492244318,customers,parking,yes,no,surface,unpaved,yes,2018-01-23T06:37:34Z,2,55674461,Jim Schmidt,7421879,2519,Real Property,TUOLUMNE,1190,RAILTOWN 1897 SHP, 5TH AND RESERVOIR,JAMESTOWN,CA,95327,"PARKS & RECREATION, DEPT OF",23.44,45637,37.950885,-120.417717,1474.99,239.080975,2543.644268
363,Polygon Z,1,77409,way/249328355,yes,parking,no,yes,surface,dirt,yes,2021-08-25T14:52:34Z,2,110238012,Charles_Smothers,160148,252,Real Property,EL DORADO,1095,LAKE VALLEY SRA, EMERALD BAY ROAD,SOUTH LAKE TAHOE,CA,96150,"PARKS & RECREATION, DEPT OF",207.4,4730,38.87127,-120.007624,6276.11,323.170265,6729.450788
364,Polygon Z,1,77900,way/591391312,private,parking,yes,no,surface,asphalt,yes,2018-05-27T16:58:21Z,1,59317838,Sebastien R,3119219,1310,Real Property,PLACER,992,BURTON CREEK SP,,TAHOE CITY,CA,96145,"PARKS & RECREATION, DEPT OF",1890.29,0,39.186792,-120.125005,6328.52,121.47639,800.50107
365,Polygon Z,1,78053,way/350490983,yes,parking,yes,no,surface,asphalt,yes,2015-06-01T03:01:36Z,1,31623730,btwhite92,730573,1228,Real Property,NEVADA,764,TRUCKEE AREA,10077 STATE RTE 89 SOUTH,TRUCKEE,CA,96161,"HIGHWAY PATROL, DEPT OF THE CALIF",1.73,11022,39.325097,-120.207079,5918.58,101.305877,539.502488
366,Polygon Z,1,78191,way/1052575107,customers,parking,yes,yes,surface,asphalt,yes,2022-04-18T03:51:20Z,1,119836626,Sequencer,9232223,1305,Real Property,PLACER,1091,KINGS BEACH SRA, KINGS BEACH SRA,KINGS BEACH,CA,96143,"PARKS & RECREATION, DEPT OF",15.51,2143,39.236383,-120.024546,6242.63,412.009273,3639.593511
367,Polygon Z,1,78254,way/168550188,permissive,parking,yes,yes,surface,asphalt,yes,2020-07-29T06:25:53Z,5,88656402,PritamSarang,11460235,1327,Real Property,PLUMAS,11298,BLAIRSDEN PARK AND RIDE,,BLAIRSDEN,CA,96103,"TRANSPORTATION, DEPT OF",0.16,0,39.784752,-120.620004,4430.47,207.078647,1878.069476
368,Polygon Z,1,81200,way/740810084,yes,parking,no,no,surface,asphalt,yes,2022-08-21T20:29:17Z,4,125198668,rokoy,11740381,596,Real Property,LASSEN,12026,HONEY LAKE SAFETY ROADSIDE REST AREA - NB & SB, 7.7 MI N OF MILFORD,UNINCORP - LASSEN CO,CA,96114,"TRANSPORTATION, DEPT OF",6.9,2832,40.256258,-120.465461,4111.38,306.990645,2949.10125
369,Polygon Z,1,81212,way/897214618,yes,parking,no,no,surface,ground,yes,2021-01-19T17:32:31Z,1,97784243,mwmwmwmwmwwmwm,12507865,586,Real Property,LASSEN,11283,HALL OF JUSTICE,2610 RIVERSIDE DRIVE,SUSANVILLE,CA,96130,JUDICIAL COUNCIL OF CALIFORNIA,5.43,42320,40.409313,-120.64073,4165.68,335.180246,5497.188365
370,Polygon Z,1,81287,way/107279607,yes,parking,no,no,surface,asphalt,yes,2022-02-19T09:16:30Z,4,117595998,Jorisbo,1983103,574,Real Property,LASSEN,11809,JANESVILLE PARK AND RIDE, SW OF US 395,JANESVILLE,CA,96114,"TRANSPORTATION, DEPT OF",7.22,0,40.290079,-120.501059,4157.95,314.560838,2690.071173
371,Polygon Z,1,81295,way/437499500,yes,parking,no,no,surface,asphalt,yes,2019-12-28T19:40:14Z,2,78963770,mneko,158194,585,Real Property,LASSEN,9982,HIGH DESERT STATE PRISON,475-750 RICE CANYON ROAD,SUSANVILLE,CA,96130,CDCR - HIGH DESERT STATE PRISON,655,1214550,40.410898,-120.51252,4201.88,1119.639826,36386.35477
