OBJECTID *,Shape *,Join_Count,TARGET_FID,F_id,access,amenity,covered,fee,parking,surface,wheelchair,F_timestamp,F_version,F_changeset,F_user,F_uid,OBJECTID_1,SPI_Type,County,Real_Property_Number,Real_Property_Name,Address,City,State,Zip_Code,Agency,Total_Fee_Acreage,Total_SF_of_Structures,Latitude,Longitude,Elevation,Shape_Length,Shape_Area
27,Polygon Z,1,3834,way/87996624,private,parking,yes,yes,surface,asphalt,limited,2015-12-06T04:41:48Z,5,35780169,doug_sfba,1796809,1165,Real Property,MONTEREY,228,ELKHORN SLOUGH ER,1454 ELKHORN ROAD,UNINCORP - MONTEREY CO,CA,0,"FISH AND WILDLIFE, CA DEPT OF",1747.78,28631,36.816792,-121.730106,128,217.664105,2898.511907
28,Polygon Z,1,3840,way/37275212,private,parking,yes,yes,surface,asphalt,limited,2022-02-19T09:19:00Z,6,117596081,Jorisbo,1983103,1155,Real Property,MONTEREY,11850,PRUNEDALE 101/156 IC PARK AND RIDE, NW QUAD OF 101/156,PRUNEDALE,CA,93907,"TRANSPORTATION, DEPT OF",3.51,0,36.789432,-121.671221,100.65,329.286515,4753.436896
29,Polygon Z,1,3939,way/69968597,yes,parking,yes,yes,surface,paved,limited,2021-05-08T20:09:43Z,4,104377664,gotrees,12086834,2142,Real Property,SANTA CRUZ,240,GREYHOUND ROCK FA, HWY 1,UNINCORP - SANTA CRUZ CO,CA,0,"FISH AND WILDLIFE, CA DEPT OF",70,0,37.079519,-122.265058,165.74,323.234992,6314.883614
30,Polygon Z,1,4161,way/239940919,yes,parking,yes,no,surface,asphalt,yes,2021-12-29T02:49:01Z,3,115495941,inklein,8025415,1993,Real Property,SAN MATEO,1055,BEAN HOLLOW SB, HIGHWAY 1,PESCADERO,CA,94060,"PARKS & RECREATION, DEPT OF",44,500,37.225686,-122.408845,19.17,235.123789,1335.425216
31,Polygon Z,1,4183,way/32506312,yes,parking,yes,no,surface,gravel,yes,2021-02-20T21:33:08Z,4,99660975,Andrew Ash,2254670,1994,Real Property,SAN MATEO,1166,PESCADERO SB,404 WATERLANE,PESCADERO,CA,94060,"PARKS & RECREATION, DEPT OF",664.44,7806,37.274367,-122.408901,35.84,242.715631,3333.068909
32,Polygon Z,1,4184,way/32506309,yes,parking,yes,yes,surface,gravel,yes,2019-06-16T02:10:42Z,3,71291585,dchiles,153669,1995,Real Property,SAN MATEO,1179,POMPONIO SB, HWY 1 AT POMPONIO CR,PESCADERO,CA,94060,"PARKS & RECREATION, DEPT OF",420.64,36,37.300037,-122.405387,36.01,302.471104,4055.949366
33,Polygon Z,1,4213,way/38857645,private,parking,yes,yes,surface,unpaved,yes,2022-11-05T10:49:17Z,8,128515487,doug_sfba,1796809,2015,Real Property,SAN MATEO,1005,CASTLE ROCK SP,,UNINCORP - SAN MATEO CO,CA,0,"PARKS & RECREATION, DEPT OF",5229.09,12293,37.230687,-122.095871,3006,150.019943,1578.342639
34,Polygon Z,1,4368,way/34302565,yes,parking,yes,no,surface,asphalt,yes,2021-08-07T16:05:37Z,10,109316821,fudsnottica,6371152,2132,Real Property,SANTA CRUZ,1104,LIGHTHOUSE FIELD SB,,SANTA CRUZ,CA,0,"PARKS & RECREATION, DEPT OF",37.6,2000,36.951771,-122.026738,27.92,189.734362,1669.52948
35,Polygon Z,1,4686,way/111655460,private,parking,yes,no,surface,asphalt,yes,2017-03-10T23:14:27Z,3,46752251,stevea,123633,2134,Real Property,SANTA CRUZ,1230,SANTA CRUZ MISSION SHP, SCHOOL STREET,SANTA CRUZ,CA,95060,"PARKS & RECREATION, DEPT OF",1.94,4073,36.977487,-122.027918,76.78,102.112576,648.082426
36,Polygon Z,1,4885,way/881784634,yes,parking,yes,no,surface,asphalt,yes,2021-02-05T01:42:46Z,2,98732787,fudsnottica,6371152,2126,Real Property,SANTA CRUZ,940,CAPITOLA OFFICE BUILDING,4200 CAPITOLA RD,CAPITOLA,CA,95010,"MOTOR VEHICLES, DEPT OF",2.7,10619,36.97321,-121.963292,75.44,435.858084,7902.76137
37,Polygon Z,1,5144,way/35028535,destination,parking,yes,no,surface,asphalt,no,2020-08-08T15:09:59Z,12,89131175,PritamSarang,11460235,2139,Real Property,SANTA CRUZ,11854,PASATIEMPO PARK AND RIDE, PASTAIEMPO SB RAMPS,SANTA CRUZ,CA,95060,"TRANSPORTATION, DEPT OF",7.86,0,36.998973,-122.021963,260.56,443.88065,1748.230008
38,Polygon Z,1,5935,way/206188504,customers,parking,yes,no,surface,asphalt,yes,2019-07-23T00:38:27Z,3,72534874,doug_sfba,1796809,2077,Real Property,SANTA CLARA,941,LOS GATOS OFFICE BUILDING,600 NORTH SANTA CRUZ AVE,LOS GATOS,CA,95030,"MOTOR VEHICLES, DEPT OF",0.99,8372,37.234107,-121.977949,371.97,354.969171,4755.227778
39,Polygon Z,1,7379,way/992794273,private,parking,yes,yes,surface,asphalt,yes,2021-10-14T17:56:59Z,1,112514770,impiooort,10457019,2093,Real Property,SANTA CLARA,910,SAN JOSE OFFICE BUILDING,111 W ALMA AVENUE,SAN JOSE,CA,95110,"MOTOR VEHICLES, DEPT OF",2.48,18284,37.315251,-121.877102,106.91,485.389772,9161.093311
40,Polygon Z,1,7651,way/23820908,private,parking,yes,no,surface,asphalt,yes,2021-07-12T01:25:37Z,7,107801776,Minh Nguyen,33757,2100,Real Property,SANTA CLARA,11252,SOUTH SAN JOSE MAINTENANCE STATION,6010 MONTEREY ROAD,SAN JOSE,CA,95112,"TRANSPORTATION, DEPT OF",5,26106,37.240361,-121.774768,210.66,450.717767,7795.737993
41,Polygon Z,1,8265,way/53055578,yes,parking,yes,yes,surface,asphalt,yes,2013-10-17T16:47:58Z,3,18406714,PhQ,141978,1169,Real Property,MONTEREY,1053,FREMONT PEAK SP,,UNINCORP - MONTEREY CO,CA,0,"PARKS & RECREATION, DEPT OF",159.03,4989,36.760294,-121.502879,2796.37,127.581239,990.33118
42,Polygon Z,1,8310,way/112237826,private,parking,yes,yes,surface,gravel,yes,2023-03-19T01:04:08Z,2,133842858,patzi,16256,1595,Real Property,SAN BENITO,78,"DAA 33, SAN BENITO COUNTY FAIRGROUNDS",9000 AIRLINE HIGHWAY,TRES PINOS,CA,95075,DISTRICT AGRICULTURAL ASSOCIATIONS,131.95,80904,36.766697,-121.301757,517.14,496.328774,10932.66446
43,Polygon Z,1,8427,way/415424794,customers,parking,yes,yes,surface,gravel,yes,2016-05-04T07:14:18Z,1,39088923,nmixter,55774,1589,Real Property,SAN BENITO,11453,HOLLISTER COURTHOUSE,450 FOURTH STREET,HOLLISTER,CA,95023,JUDICIAL COUNCIL OF CALIFORNIA,3.08,41339,36.853129,-121.405181,291.19,288.083689,4159.598042
44,Polygon Z,1,8439,way/65070159,customers,parking,yes,yes,surface,gravel,yes,2011-05-08T05:38:32Z,3,8079049,nmixter,55774,1585,Real Property,SAN BENITO,873,HOLLISTER OFFICE BUILDING,80 NORTH SALLY STREET,HOLLISTER,CA,95023,"MOTOR VEHICLES, DEPT OF",0.58,2125,36.858303,-121.400121,279.78,232.286626,2504.426549
45,Polygon Z,1,8659,way/143740421,customers,parking,yes,no,surface,asphalt,yes,2012-01-01T17:41:59Z,1,10263611,nmixter,55774,2070,Real Property,SANTA CLARA,858,GILROY ARMORY,8490 WREN AVE,GILROY,CA,95020,MILITARY DEPARTMENT,2,11059,37.020475,-121.585701,216.67,388.227765,5294.281358
46,Polygon Z,1,8708,way/231647067,customers,parking,yes,no,surface,paved,yes,2013-07-28T22:29:41Z,1,17132089,nmixter,55774,2069,Real Property,SANTA CLARA,741,HOLLISTER-GILROY AREA,740 RENZ LANE,GILROY,CA,95020,"HIGHWAY PATROL, DEPT OF THE CALIF",1.02,3058,37.004711,-121.556054,190.03,374.166001,2993.19451
47,Polygon Z,1,9101,way/291544432,yes,parking,yes,no,surface,gravel,yes,2021-09-16T04:43:40Z,3,111270024,Harry Cutts,670691,2021,Real Property,SAN MATEO,9880,COWELL RANCH,,UNINCORP - SAN MATEO CO,CA,0,"COASTAL CONSERVANCY, STATE",51.73,0,37.422255,-122.426404,130.85,118.854435,819.62814
48,Polygon Z,1,9177,way/101152060,fee,parking,yes,yes,surface,asphalt,yes,2020-07-31T16:56:31Z,4,88792241,PritamSarang,11460235,2005,Real Property,SAN MATEO,11342,HAYNE ROAD PARK AND RIDE, NW QUAD I-280,SAN MATEO,CA,94010,"TRANSPORTATION, DEPT OF",0.22,0,37.547027,-122.373525,631.13,156.964831,1818.318897
49,Polygon Z,1,9186,way/27672676,fee,parking,yes,no,surface,asphalt,yes,2020-07-31T16:23:50Z,6,88791221,PritamSarang,11460235,2002,Real Property,SAN MATEO,11341,EDGEWOOD PARK AND RIDE, NE QUAD I-280,REDWOOD CITY,CA,94070,"TRANSPORTATION, DEPT OF",0.35,0,37.469397,-122.291623,547.74,421.837443,3174.918402
50,Polygon Z,1,9206,way/101151929,fee,parking,yes,no,surface,asphalt,yes,2020-07-31T16:23:50Z,4,88791221,PritamSarang,11460235,1973,Real Property,SAN MATEO,11329,RALSTON PARK AND RIDE,,BELMONT,CA,94403,"TRANSPORTATION, DEPT OF",0.3,0,37.512093,-122.329435,518.96,226.053777,1964.446171
51,Polygon Z,1,9490,way/97522350,private,parking,yes,no,surface,asphalt,yes,2022-03-09T08:39:22Z,5,118268234,Jorisbo,1983103,2007,Real Property,SAN MATEO,11837,101/92 PARK AND RIDE, SW QUAD RTE 101/92,SAN MATEO,CA,94402,"TRANSPORTATION, DEPT OF",78.09,0,37.55237,-122.298728,7.29,833.200599,14122.6776
52,Polygon Z,1,9566,way/27925217,fee,parking,yes,no,surface,asphalt,yes,2020-07-31T14:47:08Z,6,88787864,PritamSarang,11460235,2072,Real Property,SANTA CLARA,11325,PAGE MILL PARK AND RIDE, PAGE MILL ROAD AT,LOS ALTOS,CA,94303,"TRANSPORTATION, DEPT OF",0.4,0,37.387994,-122.163413,245.38,246.071607,2464.72093
53,Polygon Z,1,9606,way/44061497,fee,parking,yes,no,surface,asphalt,yes,2020-07-31T16:23:50Z,7,88791221,PritamSarang,11460235,2026,Real Property,SAN MATEO,11348,WOODSIDE PARK AND RIDE, SW QUAD I-280/SR 84,WOODSIDE,CA,94602,"TRANSPORTATION, DEPT OF",0.35,0,37.434634,-122.244291,283.87,197.903794,2330.678499
54,Polygon Z,1,10507,way/700263618,customers,parking,no,no,surface,asphalt,yes,2019-06-28T06:32:57Z,1,71695448,droctagonopus,3837547,2086,Real Property,SANTA CLARA,947,MOUNTAIN VIEW OFFICE BUILDING,595 SHOWERS DR,MOUNTAIN VIEW,CA,94040,"MOTOR VEHICLES, DEPT OF",1.46,6610,37.400634,-122.107875,69.49,368.743758,8324.547132
55,Polygon Z,1,11203,way/832134258,customers,parking,no,no,surface,asphalt,yes,2020-08-05T07:42:05Z,3,88966073,PritamSarang,11460235,2003,Real Property,SAN MATEO,11834,WHIPPLE PARK AND RIDE, W OF RTE 101 AT SW,REDWOOD CITY,CA,94063,"TRANSPORTATION, DEPT OF",16.08,0,37.495132,-122.234171,9.43,240.246044,3084.653996
56,Polygon Z,1,11215,way/1149786394,private,parking,no,no,surface,asphalt,yes,2023-02-27T02:50:34Z,1,133066252,lasagna,7572965,1999,Real Property,SAN MATEO,747,REDWOOD CITY AREA,355 CONVENTION WAY,REDWOOD CITY,CA,94603,"HIGHWAY PATROL, DEPT OF THE CALIF",1.88,6559,37.494325,-122.229854,6.72,171.64678,1410.304882
57,Polygon Z,1,12243,way/60116366,fee,parking,no,no,surface,asphalt,limited,2020-08-02T06:08:20Z,4,88830329,PritamSarang,11460235,20,Real Property,ALAMEDA,11334,ARDENWOOD PARK AND RIDE, NW QUAD OF SR 84 /,FREMONT,CA,94560,"TRANSPORTATION, DEPT OF",1,0,37.551958,-122.053588,16.49,864.641074,19368.98084
58,Polygon Z,1,12696,way/101152393,fee,parking,no,yes,surface,asphalt,yes,2020-07-31T16:23:50Z,4,88791221,PritamSarang,11460235,2006,Real Property,SAN MATEO,11347,THIRD AVENUE PARK AND RIDE, NE QUAD US 101,SAN MATEO,CA,94401,"TRANSPORTATION, DEPT OF",0.15,0,37.57235,-122.313298,9.4,121.444716,839.469386
59,Polygon Z,1,12819,way/886836564,customers,parking,no,no,surface,asphalt,yes,2020-12-21T03:24:18Z,1,96162064,willkmis,11523236,1975,Real Property,SAN MATEO,942,DALY CITY OFFICE BUILDING,1500 SULLIVAN AVENUE,DALY CITY,CA,94015,"MOTOR VEHICLES, DEPT OF",2.61,11854,37.688914,-122.472766,174.89,486.619223,7076.044341
60,Polygon Z,1,12892,way/547362562,customers,parking,no,yes,surface,asphalt,yes,2022-09-30T10:04:17Z,2,126815887,GaitVanNKaantnHeer,17220047,1974,Real Property,SAN MATEO,53,"DAA 01-A, COW PALACE",2600 GENEVA AVENUE,DALY CITY,CA,94014,DISTRICT AGRICULTURAL ASSOCIATIONS,70.8,220000,37.705333,-122.420225,110,3339.556863,104973.4225
61,Polygon Z,1,13282,way/609361665,permissive,parking,no,no,surface,asphalt,yes,2022-10-07T06:01:33Z,2,127132914,MatchaHatesGoogle,12203027,26,Real Property,ALAMEDA,1329,"CSU, EAST BAY",25800 CARLOS BEE BLVD,HAYWARD,CA,94542,CAL STATE UNIVERSITY,354.68,1735877,37.655489,-122.057312,488.66,672.810085,21120.66344
62,Polygon Z,1,13338,way/628974628,no,parking,no,no,surface,asphalt,yes,2018-09-29T08:54:03Z,1,63031098,oba510,933797,2,Real Property,ALAMEDA,11919,GEORGE E. MCDONALD HALL OF JUSTICE,2233 SHORELINE DRIVE,ALAMEDA,CA,94501,JUDICIAL COUNCIL OF CALIFORNIA,1.38,25850,37.755826,-122.253196,13.14,438.927442,3908.106721
63,Polygon Z,1,13469,way/314472839,private,parking,no,yes,surface,asphalt,yes,2019-09-30T19:55:51Z,2,75118414,thetornado76,1624486,36,Real Property,ALAMEDA,944,OAKLAND COLISEUM OFFICE BUILDING,501 85TH AVENUE,OAKLAND,CA,94621,"MOTOR VEHICLES, DEPT OF",2.87,15124,37.739882,-122.193291,12.1,559.679593,9848.091628
64,Polygon Z,1,13661,way/544097073,permissive,parking,no,no,surface,asphalt,yes,2020-07-29T08:59:56Z,4,88666564,PritamSarang,11460235,12,Real Property,ALAMEDA,11818,JOHN DRIVE PARK AND RIDE, N. SIDE OF FOOTHILL,CASTRO VALLEY,CA,94546,"TRANSPORTATION, DEPT OF",0.01,0,37.691627,-122.093053,200.11,336.278151,1168.617986
65,Polygon Z,1,13814,way/103260061,fee,parking,no,no,surface,asphalt,yes,2022-07-04T21:01:38Z,5,123207824,KindredCoda,14293,11,Real Property,ALAMEDA,11817,CENTER STREET PARK AND RIDE, E. OF CENTER STREET,CASTRO VALLEY,CA,94546,"TRANSPORTATION, DEPT OF",0.03,0,37.692153,-122.061549,230.55,432.994868,9925.642076
66,Polygon Z,1,14119,way/296979277,yes,parking,yes,no,surface,asphalt,yes,2022-10-04T23:16:23Z,4,127019917,Alex W2,11542339,2105,Real Property,SANTA CLARA,905,SANTA CLARA OFFICE BUILDING,3665 FLORA VISTA AVENUE,SANTA CLARA,CA,95051,"MOTOR VEHICLES, DEPT OF",3.17,13658,37.349875,-121.993938,103.54,376.270382,8982.580464
67,Polygon Z,1,14201,way/347007188,customers,parking,no,no,surface,asphalt,yes,2016-07-13T21:57:06Z,2,40725328,peterm95018,751955,2111,Real Property,SANTA CLARA,12011,"UC, SANTA CRUZ OFF CAMPUS CENTER - SILICON VALLEY CAMPUS",3175 BOWERS AVE,SANTA CLARA,CA,95054,UNIVERSITY OF CALIFORNIA,4,0,37.380171,-121.97672,34.71,836.220333,14160.78169
68,Polygon Z,1,14618,way/628747732,permit,parking,yes,yes,surface,asphalt,yes,2018-09-28T06:51:40Z,1,62999040,oba510,933797,2088,Real Property,SANTA CLARA,133,SAN JOSE,297 W HEDDING,SAN JOSE,CA,95110,EMPLOYMENT DEVELOPMENT DEPARTMENT,2.37,29013,37.349989,-121.911574,61.25,309.378877,5775.316768
69,Polygon Z,1,15162,way/49202404,customers,parking,no,no,surface,asphalt,yes,2010-01-31T16:54:39Z,1,3760847,AndreasPr,148800,18,Real Property,ALAMEDA,11239,FREMONT HALL OF JUSTICE,39439 PASEO PADRE PARKWAY,FREMONT,CA,94538,JUDICIAL COUNCIL OF CALIFORNIA,8.17,124100,37.550227,-121.97754,58.18,731.686409,29369.32811
70,Polygon Z,1,15300,way/102523033,permissive,parking,no,yes,surface,asphalt,yes,2020-07-27T05:36:16Z,5,88542708,PritamSarang,11460235,19,Real Property,ALAMEDA,11333,680 /  MISSION BLVD. PARK AND RIDE, SE QUAD SR 238,FREMONT,CA,94537,"TRANSPORTATION, DEPT OF",1.29,0,37.540319,-121.923689,274.93,371.509728,7511.046928
71,Polygon Z,1,15631,way/105058268,fee,parking,no,no,surface,asphalt,yes,2020-08-02T06:30:13Z,3,88830595,PritamSarang,11460235,195,Real Property,CONTRA COSTA,11337,BOLLINGER PARK AND RIDE, SW QUAD I-680,SAN RAMON,CA,94583,"TRANSPORTATION, DEPT OF",1.9,0,37.759241,-121.966348,459.86,368.724666,6612.281746
72,Polygon Z,1,15706,way/446766870,customers,parking,no,no,surface,asphalt,yes,2016-10-10T05:44:20Z,1,42768643,Aric,87286,54,Real Property,ALAMEDA,909,PLEASANTON OFFICE BUILDING,6300 W LAS POSITAS BLVD,PLEASANTON,CA,94588,"MOTOR VEHICLES, DEPT OF",2.65,8119,37.680384,-121.905437,327.67,358.045079,6755.572557
73,Polygon Z,1,16618,way/370814286,customers,parking,no,no,surface,asphalt,yes,2022-08-09T19:44:52Z,4,124700953,lxbarth,589596,1861,Real Property,SAN FRANCISCO,900,SAN FRANCISCO OFFICE BUILDING,1377 FELL STREET,SAN FRANCISCO,CA,94117,"MOTOR VEHICLES, DEPT OF",2.45,23247,37.773271,-122.440009,206.72,300.773317,5137.733272
74,Polygon Z,1,16685,way/436480426,private,parking,no,no,multi-storey,asphalt,yes,2022-06-07T00:17:02Z,3,122046719,John Gilmore,314930,1869,Real Property,SAN FRANCISCO,11879,SAN FRANCISCO PARKING (TURK),850 TURK STREET,SAN FRANCISCO,CA,94102,EMPLOYMENT DEVELOPMENT DEPARTMENT,0.43,0,37.781911,-122.42319,115.16,192.903084,2321.194487
75,Polygon Z,2,16686,way/436480427,private,parking,no,no,multi-storey,asphalt,yes,2016-08-09T22:40:56Z,1,41356398,JessAk71,381909,1859,Real Property,SAN FRANCISCO,682,PARKING FACILITY SAN FRANCISCO,700 GOLDEN GATE AVE.,SAN FRANCISCO,CA,0,"GENERAL SERVICES, DEPT OF",0.39,0,37.780988,-122.422875,93.52,173.04549,1867.681888
76,Polygon Z,1,16833,way/132605518,customers,parking,no,no,surface,asphalt,yes,2021-12-03T20:09:54Z,3,114535815,Allthebubbly,14564673,1871,Real Property,SAN FRANCISCO,12102,"UC, SAN FRANCISCO OFF CAMPUS CENTER -UCSF MISSION CENTER",,SAN FRANCISCO,CA,0,UNIVERSITY OF CALIFORNIA,3.19,0,37.767505,-122.414497,20.46,403.291113,9985.714634
77,Polygon Z,1,17249,way/105027000,permissive,parking,no,no,surface,asphalt,yes,2020-07-27T05:36:16Z,7,88542708,PritamSarang,11460235,51,Real Property,ALAMEDA,11819,7TH & LINDEN STREET PARK AND RIDE, UNDER I-880 AT,OAKLAND,CA,94607,"TRANSPORTATION, DEPT OF",1.45,0,37.802716,-122.286281,20.01,720.37434,11147.20614
78,Polygon Z,1,17331,way/398834178,yes,parking,no,Private,surface,asphalt,yes,2018-02-07T04:21:14Z,3,56137013,nereocystis,1835512,49,Real Property,ALAMEDA,11235,WILEY W. MANUEL COURTHOUSE,661 WASHINGTON STREET,OAKLAND,CA,94607,JUDICIAL COUNCIL OF CALIFORNIA,1.56,196277,37.800097,-122.276142,29.24,256.305545,2816.036402
79,Polygon Z,1,17659,way/582002741,private,parking,no,no,surface,asphalt,yes,2022-05-27T18:04:02Z,3,121588385,Mingwei,14152086,34,Real Property,ALAMEDA,718,OAKLAND AREA,3601 TELEGRAPH AVENUE,OAKLAND,CA,94609,"HIGHWAY PATROL, DEPT OF THE CALIF",2.6,9771,37.824909,-122.266579,66.23,723.95948,9922.736938
80,Polygon Z,1,18161,way/84831712,customers,parking,no,yes,surface,asphalt,yes,2013-03-08T06:08:25Z,3,15289659,wheelmap_visitor,290680,172,Real Property,CONTRA COSTA,880,EL CERRITO OFFICE BUILDING,6400 MANILA AVENUE,EL CERRITO,CA,94530,"MOTOR VEHICLES, DEPT OF",2.11,11158,37.915519,-122.309874,71.25,317.283585,5304.260287
81,Polygon Z,1,18465,way/396642495,customers,parking,no,Private,surface,concrete,yes,2016-02-08T04:08:22Z,1,37072385,JessAk71,381909,33,Real Property,ALAMEDA,126,OAKLAND,1225 4TH AVENUE,OAKLAND,CA,94606,EMPLOYMENT DEVELOPMENT DEPARTMENT,2,28921,37.796573,-122.255686,31.04,438.341792,6953.680161
82,Polygon Z,1,18580,way/105058250,permissive,parking,no,Permit,surface,asphalt,yes,2020-08-10T06:33:25Z,8,89179320,PritamSarang,11460235,52,Real Property,ALAMEDA,11820,580/FRUITVALE PARK AND RIDE, UNDER I-580,OAKLAND,CA,94601,"TRANSPORTATION, DEPT OF",1.78,0,37.798384,-122.216305,160.8,272.97388,4647.768505
83,Polygon Z,1,19081,way/31430998,customers,parking,no,no,surface,asphalt,yes,2022-09-04T07:43:07Z,4,125762205,oba510,933797,183,Real Property,CONTRA COSTA,12092,ORINDA LAB/IA OFFICE,15 CAMINO,ORINDA,CA,94563,"TRANSPORTATION, DEPT OF",46.61,2212,37.880869,-122.182193,520.34,890.646829,16774.97572
84,Polygon Z,1,19281,way/350824169,staff,parking,no,yes,surface,asphalt,no,2015-06-02T10:22:51Z,1,31659559,Sergіy Kozyr,195702,208,Real Property,CONTRA COSTA,11587,WALNUT CREEK/DANVILLE COURTHOUSE,640 YGNACIO VALLEY ROAD,WALNUT CREEK,CA,94596,JUDICIAL COUNCIL OF CALIFORNIA,1.53,22469,37.90711,-122.060484,163.81,626.265193,9198.552578
85,Polygon Z,1,19746,way/24164416,permissive,parking,no,yes,surface,asphalt,no,2020-07-27T05:36:16Z,9,88542708,PritamSarang,11460235,191,Real Property,CONTRA COSTA,11823,HILLTOP PARK AND RIDE, NE QUAD,RICHMOND,CA,94804,"TRANSPORTATION, DEPT OF",45.52,0,37.976848,-122.317373,265.53,356.0939,8102.984418
86,Polygon Z,1,19748,way/30573034,fee,parking,no,yes,surface,asphalt,no,2020-08-02T06:30:13Z,7,88830595,PritamSarang,11460235,192,Real Property,CONTRA COSTA,11824,RICHMOND PARKWAY TRANSIT CENTER PARK AND RIDE, I-80 / RICHMOND PKWY,RICHMOND,CA,94806,"TRANSPORTATION, DEPT OF",27.08,0,37.986453,-122.316212,269.24,885.766616,14690.1676
87,Polygon Z,1,19818,way/106479457,private,parking,no,no,surface,asphalt,no,2022-02-19T09:18:18Z,5,117596062,Jorisbo,1983103,174,Real Property,CONTRA COSTA,11821,WILLOW PARK AND RIDE, NE & SW QUADS,HERCULES,CA,94547,"TRANSPORTATION, DEPT OF",50.62,0,38.023175,-122.26338,38.97,332.723026,4875.71261
88,Polygon Z,1,20252,way/516688970,private,parking,no,no,surface,asphalt,no,2017-08-18T19:32:58Z,1,51241799,Delta 6,4967074,176,Real Property,CONTRA COSTA,763,CONTRA COSTA AREA,5001 BLUM ROAD,MARTINEZ,CA,94553,"HIGHWAY PATROL, DEPT OF THE CALIF",1.63,6434,37.996778,-122.073991,27.18,144.096695,1091.101472
89,Polygon Z,1,20273,way/506138685,private,parking,no,no,surface,asphalt,no,2020-08-02T06:30:13Z,5,88830595,PritamSarang,11460235,179,Real Property,CONTRA COSTA,11822,PACHECO PARK AND RIDE, N. OF RTE 4,MARTINEZ,CA,94553,"TRANSPORTATION, DEPT OF",4.82,0,37.995533,-122.072922,29.84,399.316693,7046.638383
90,Polygon Z,1,20399,way/106479460,permissive,parking,no,no,surface,asphalt,no,2020-08-01T07:06:44Z,5,88808168,PritamSarang,11460235,2276,Real Property,SOLANO,11839,EAST SECOND STREET PARK AND RIDE, SE QUAD I-780,BENICIA,CA,94510,"TRANSPORTATION, DEPT OF",3.35,0,38.058045,-122.14874,127.87,124.153861,792.32585
91,Polygon Z,1,20505,way/106479484,permissive,parking,no,yes,surface,asphalt,no,2020-08-01T07:06:44Z,8,88808168,PritamSarang,11460235,2316,Real Property,SOLANO,11842,MAGAZINE STREET PARK AND RIDE, I-80/MAGAZINE ST,VALLEJO,CA,0,"TRANSPORTATION, DEPT OF",0.29,0,38.084827,-122.23392,42.33,223.249675,1060.223985
92,Polygon Z,1,20546,way/690341287,private,parking,no,no,surface,asphalt,limited,2019-05-15T22:49:57Z,1,70296038,ashrelliott,9960087,2313,Real Property,SOLANO,137,VALLEJO,1440 MARIN STREET,VALLEJO,CA,94590,EMPLOYMENT DEVELOPMENT DEPARTMENT,0.9,14143,38.109664,-122.255827,38.43,300.201879,2989.685364
93,Polygon Z,1,21052,way/106479454,yes,parking,no,no,surface,asphalt,limited,2020-07-29T11:24:19Z,5,88675496,PritamSarang,11460235,207,Real Property,CONTRA COSTA,11346,RUDGEAR PARK AND RIDE, SE QUAD I-680,WALNUT CREEK,CA,94596,"TRANSPORTATION, DEPT OF",0.73,0,37.87979,-122.048095,182.4,277.528999,3618.160719
94,Polygon Z,1,21209,way/106479489,permissive,parking,no,yes,surface,asphalt,limited,2020-07-29T11:24:19Z,7,88675496,PritamSarang,11460235,169,Real Property,CONTRA COSTA,11338,CONCORD PARK AND RIDE, E OF SR 242,CONCORD,CA,94520,"TRANSPORTATION, DEPT OF",1.4,0,37.970385,-122.047269,33.58,192.799276,2457.960806
95,Polygon Z,1,21621,way/31363617,permissive,parking,no,no,surface,asphalt,limited,2015-02-05T04:19:06Z,3,28623633,AndrewSnow,371121,184,Real Property,CONTRA COSTA,11280,ARNASON JUSTICE CENTER,1000 CENTER DRIVE,PITTSBURG,CA,94565,JUDICIAL COUNCIL OF CALIFORNIA,3,73454,38.019104,-121.88917,60.1,231.86012,3305.790396
96,Polygon Z,1,21862,way/30951629,yes,parking,no,no,surface,asphalt,limited,2009-03-21T08:57:39Z,8,839749,Speight,24452,2403,Real Property,STANISLAUS,12039,ENOCH CHRISTOFFERSEN SAFETY ROADSIDE REST AREA - NB, 2.3 MI S OF TURLOCK,UNINCORP - STANISLAUS CO,CA,95380,"TRANSPORTATION, DEPT OF",15.33,0,37.465875,-120.826787,106.16,650.075455,8334.4956
97,Polygon Z,1,21863,way/32359101,yes,parking,no,no,surface,asphalt,limited,2009-03-21T08:57:42Z,2,839749,Speight,24452,2402,Real Property,STANISLAUS,12038,ENOCH CHRISTOFFERSEN SAFETY ROADSIDE REST AREA - SB, 2.3 MI S OF TURLOCK,UNINCORP - STANISLAUS CO,CA,95380,"TRANSPORTATION, DEPT OF",26.47,0,37.464492,-120.827592,105.43,605.624551,7962.947756
98,Polygon Z,1,22366,way/460084490,permissive,parking,no,yes,surface,asphalt,limited,2016-12-16T19:45:00Z,1,44455354,BillyPilgrim,4942066,1888,Real Property,SAN JOAQUIN,676,STOCKTON STATE BUILDING,31 EAST CHANNEL STREET,STOCKTON,CA,95202,"GENERAL SERVICES, DEPT OF",2.11,62850,37.955028,-121.291109,12.97,380.392288,8569.247522
99,Polygon Z,1,22375,way/831191248,private,parking,no,yes,surface,asphalt,limited,2020-08-09T08:39:07Z,3,89147098,PritamSarang,11460235,1899,Real Property,SAN JOAQUIN,12188,MIRIPOSA ROAD PARK AND RIDE, SE QUAD SR 99,STOCKTON,CA,95205,"TRANSPORTATION, DEPT OF",3.44,0,37.932374,-121.231578,0,369.943488,8983.438229
